2013	linear matrix inequality	social inequality	{'4315ce8a394eaccda5ad9b8714ff77d39c87ac65': 2, 'ba2c616097a893c3b3b1a4e72e197a90f550bb40': 3, 'd453abc3346cc8a8d24ce4a3f66c8c9d578b2015': 2}
2011	linear matrix inequality	lyapunov fractal	{'622cd0cd6537cf0b6019460bf5af870a939f4230': 2, '3ff39748f0016f58da7a3e81623ad435080e286e': 2, 'c398821eeb40120067cc0ceb1489410741c6f99f': 2}
2016	bayesian network	deep learning	{'e25a2a64393f74530c4f1a71f4c00b5123bb88e2': 2, 'f4e99ebba7479fdef5bb4fa35468298dc12ad1fa': 2}
2016	black bag operation	biogeography-based optimization 	{'7834617f815e5dc86f36c87e91ab874b6f585b7c': 2}
2016	black bag operation	deep learning	{'7834617f815e5dc86f36c87e91ab874b6f585b7c': 2}
2016	black bag operation	mathematical optimization	{'7834617f815e5dc86f36c87e91ab874b6f585b7c': 2}
2016	neuron	coefficient	{'7834617f815e5dc86f36c87e91ab874b6f585b7c': 2}
2016	neuron	mathematical optimization	{'7834617f815e5dc86f36c87e91ab874b6f585b7c': 2}
2016	biogeography-based optimization 	deep learning	{'7834617f815e5dc86f36c87e91ab874b6f585b7c': 2}
2016	biogeography-based optimization 	mathematical optimization	{'7834617f815e5dc86f36c87e91ab874b6f585b7c': 2}
2016	deep learning	mathematical optimization	{'7834617f815e5dc86f36c87e91ab874b6f585b7c': 2}
2016	coefficient	mathematical optimization	{'7834617f815e5dc86f36c87e91ab874b6f585b7c': 2}
2016	mathematical optimization	experiment	{'45f51213d1528cf80f52479a73d0e5029183d5ac': 2}
2016	artificial neural network	bayesian network	{'e25a2a64393f74530c4f1a71f4c00b5123bb88e2': 2, 'f4e99ebba7479fdef5bb4fa35468298dc12ad1fa': 2}
2016	artificial neural network	dropout (neural networks)	{'e25a2a64393f74530c4f1a71f4c00b5123bb88e2': 2, 'f4e99ebba7479fdef5bb4fa35468298dc12ad1fa': 2}
2016	artificial neural network	variational principle	{'e25a2a64393f74530c4f1a71f4c00b5123bb88e2': 2, 'f4e99ebba7479fdef5bb4fa35468298dc12ad1fa': 2}
2016	artificial neural network	nonlinear system	{'9bb783a1070252da867412d1e38fff8a06b8e4c8': 4, 'ff8e80e7a31806a3b5bedc986a141f8b83fbaa7c': 4, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 3, 'ba2c616097a893c3b3b1a4e72e197a90f550bb40': 2, 'ebd82e178a03ca6cfadd9d40c073ea15d26fca7d': 2, 'fe66c734460da7de2345e6339c104b4322cbdd4c': 2, 'd3afe3566a7c47dc157553ac27da43011c248b3b': 2, '5a01d3a12a76536b3c8066bdda31475e4700e7d1': 2}
2016	artificial neural network	deep learning	{'e25a2a64393f74530c4f1a71f4c00b5123bb88e2': 2, 'f4e99ebba7479fdef5bb4fa35468298dc12ad1fa': 2, '9c4a0c6adfe93eb5abf07c8178e687fbe45027b0': 2, '06112252d8032f58d77048df247759fe5a6bd8a8': 2, '4c3135759c6718d23d2048191ecd6deabe6b24fd': 2, 'd7253fac8cee923ebe0848bd8f5d501f8fc0404d': 2, 'f60860df8b859c74423d3847400e01f5c8780dab': 2}
2016	artificial neural network	computation	{'0e62329cfc86ddac9bb1399dffd2e8b542fe8db7': 2}
2016	artificial neural network	approximation algorithm	{'e25a2a64393f74530c4f1a71f4c00b5123bb88e2': 2, 'f4e99ebba7479fdef5bb4fa35468298dc12ad1fa': 2, 'ff8e80e7a31806a3b5bedc986a141f8b83fbaa7c': 2, '9bb783a1070252da867412d1e38fff8a06b8e4c8': 2}
2016	artificial neural network	machine learning	{'9c4a0c6adfe93eb5abf07c8178e687fbe45027b0': 2, '06112252d8032f58d77048df247759fe5a6bd8a8': 2, '4c3135759c6718d23d2048191ecd6deabe6b24fd': 2, 'd7253fac8cee923ebe0848bd8f5d501f8fc0404d': 2}
2016	artificial neural network	reinforcement learning	{'f3577d207b1dcd11c50a8035875f4842e009b3e2': 2, '5dc37355cb8ede943eba3b4b7ffe6df76b93af3e': 3}
2016	bayesian network	dropout (neural networks)	{'e25a2a64393f74530c4f1a71f4c00b5123bb88e2': 2, 'f4e99ebba7479fdef5bb4fa35468298dc12ad1fa': 2}
2016	bayesian network	variational principle	{'e25a2a64393f74530c4f1a71f4c00b5123bb88e2': 2, 'f4e99ebba7479fdef5bb4fa35468298dc12ad1fa': 2}
2016	bayesian network	approximation algorithm	{'e25a2a64393f74530c4f1a71f4c00b5123bb88e2': 2, 'f4e99ebba7479fdef5bb4fa35468298dc12ad1fa': 2}
2016	dropout (neural networks)	variational principle	{'e25a2a64393f74530c4f1a71f4c00b5123bb88e2': 2, 'f4e99ebba7479fdef5bb4fa35468298dc12ad1fa': 2}
2016	dropout (neural networks)	deep learning	{'e25a2a64393f74530c4f1a71f4c00b5123bb88e2': 2, 'f4e99ebba7479fdef5bb4fa35468298dc12ad1fa': 2}
2016	dropout (neural networks)	approximation algorithm	{'e25a2a64393f74530c4f1a71f4c00b5123bb88e2': 2, 'f4e99ebba7479fdef5bb4fa35468298dc12ad1fa': 2}
2016	mnist database	computation	{'80d65b30be8529a2d80affa6ba464e958b218fa6': 2}
2016	variational principle	deep learning	{'e25a2a64393f74530c4f1a71f4c00b5123bb88e2': 2, 'f4e99ebba7479fdef5bb4fa35468298dc12ad1fa': 2}
2016	variational principle	approximation algorithm	{'e25a2a64393f74530c4f1a71f4c00b5123bb88e2': 2, 'f4e99ebba7479fdef5bb4fa35468298dc12ad1fa': 2}
2016	nonlinear system	approximation algorithm	{'8e9a2c1a001dae33ac264a39927bff89f5f006eb': 2, '74e497f96ff25cc4421379900d021865b916766a': 2, 'ff8e80e7a31806a3b5bedc986a141f8b83fbaa7c': 2, '4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 2, 'ba2c616097a893c3b3b1a4e72e197a90f550bb40': 2, '2d511ad1699965b89a2039e8b92a83e41b7b7aa5': 2, '9bb783a1070252da867412d1e38fff8a06b8e4c8': 2}
2016	deep learning	approximation algorithm	{'e25a2a64393f74530c4f1a71f4c00b5123bb88e2': 2, 'f4e99ebba7479fdef5bb4fa35468298dc12ad1fa': 2}
2016	deep learning	machine learning	{'9c4a0c6adfe93eb5abf07c8178e687fbe45027b0': 2, '06112252d8032f58d77048df247759fe5a6bd8a8': 2, '4c3135759c6718d23d2048191ecd6deabe6b24fd': 2, 'd7253fac8cee923ebe0848bd8f5d501f8fc0404d': 2}
2016	computer science	algorithm	{'081b6c52148d7aba0b73de5096055f3de063ed04': 2}
2016	particle swarm optimization	algorithm	{'91ff13799fd1521e92351d748ad95c86f434fa9e': 2, '17eceef261c7bac8d4842dd0b595ad8e720b4ac8': 2}
2016	simulation	algorithm	{'b9ac9d0f70f371e9159fb46ff132e061629216b7': 2, '9fffe67252ee6ab12aceee97367bf1252dc5bfd0': 2}
2016	algorithm	experiment	{'a6c3dfe1c3e344f0ab89d549c677e6fa1efa5e30': 2, '83596fabcb440db2f3a5bd6f953a2d553f1102b3': 2}
2014	artificial neural network	deep learning	{'31e7de2233e356105629e9900b3cb20ec9b9bba6': 2}
2014	artificial neural network	computer vision	{'188df0e1a40ac5278909401e1b79588ceab4c7cf': 2}
2014	multimodal interaction	language model	{'e1c311aa46b9c22870e043980791e5ede54feb28': 2, 'f01ed9d1c2a8e1dc3d0147f55fcce4e24c9f747a': 2}
2014	iterative method	algorithm	{'4cf5c83e9c3d29bbc5d816f199b491b624dbf5f2': 3, '8e9a2c1a001dae33ac264a39927bff89f5f006eb': 2}
2018	artificial neural network	convolutional neural network	{'91d35b095837482e74f52646bc988c8c9c84f127': 2, 'ff3c72f526f32417708dbdb539b555d325771fed': 2}
2015	artificial neural network	imagenet	{'09040a522cfa8ad21e04dbabe4eef9001f893dfb': 3, '415647eaa76f04bd9e68b0a306146a7556c7fd33': 3, 'b00df005dbe641681c52a0537c4cdbce210f8893': 2, '0504b0ffc07b20da32b5934966d0b3c6af06b63e': 2}
2015	artificial neural network	convolutional neural network	{'09040a522cfa8ad21e04dbabe4eef9001f893dfb': 3, '415647eaa76f04bd9e68b0a306146a7556c7fd33': 3, '56c23edb6ad70080677fabf7f35bbfcaefd60d5d': 2}
2015	artificial neural network	computer vision	{'09040a522cfa8ad21e04dbabe4eef9001f893dfb': 3, '415647eaa76f04bd9e68b0a306146a7556c7fd33': 3, 'b00df005dbe641681c52a0537c4cdbce210f8893': 2, '0504b0ffc07b20da32b5934966d0b3c6af06b63e': 2}
2015	imagenet	convolutional neural network	{'09040a522cfa8ad21e04dbabe4eef9001f893dfb': 2, '415647eaa76f04bd9e68b0a306146a7556c7fd33': 2}
2015	imagenet	computer vision	{'09040a522cfa8ad21e04dbabe4eef9001f893dfb': 3, '415647eaa76f04bd9e68b0a306146a7556c7fd33': 3, 'b00df005dbe641681c52a0537c4cdbce210f8893': 2, '0504b0ffc07b20da32b5934966d0b3c6af06b63e': 2}
2015	convolutional neural network	computer vision	{'09040a522cfa8ad21e04dbabe4eef9001f893dfb': 2, '415647eaa76f04bd9e68b0a306146a7556c7fd33': 2, '8943d3b8b767bf25282d3f001ed3d5153cab290e': 2}
2009	cognitive radio	frequency band	{'e3c1aadf4975602966e6f1d10a1c14ab36e78267': 2}
2018	semiconductor industry	lyapunov fractal	{'b1e6f1e64422b43c05ae07e37fa54ed05a6ad960': 2}
2018	nonlinear system	lyapunov fractal	{'ecf7ddbfa0c7603a46b9dccb1c0adcf60d2dcc2b': 2, 'c386bab9b2f41e9ca9063ff079b2f60ac3ff9da0': 2}
2018	nonlinear system	social inequality	{'ecf7ddbfa0c7603a46b9dccb1c0adcf60d2dcc2b': 2}
2018	nonlinear system	direct method in the calculus of variations	{'ecf7ddbfa0c7603a46b9dccb1c0adcf60d2dcc2b': 2}
2018	lyapunov fractal	social inequality	{'ecf7ddbfa0c7603a46b9dccb1c0adcf60d2dcc2b': 2, '622cd0cd6537cf0b6019460bf5af870a939f4230': 2, 'b1e6f1e64422b43c05ae07e37fa54ed05a6ad960': 2, '4224899de24adfbf227ce3f193368a388333d93d': 2, '7fe16f2e16fc4226da371ab4fb595e59cc1e1a20': 2}
2018	lyapunov fractal	direct method in the calculus of variations	{'ecf7ddbfa0c7603a46b9dccb1c0adcf60d2dcc2b': 2}
2018	social inequality	direct method in the calculus of variations	{'ecf7ddbfa0c7603a46b9dccb1c0adcf60d2dcc2b': 2}
2009	cognitive radio	interference (communication)	{'25d001aff3299c438f0ee46bb47549745170990e': 2}
