Year,Keyword,Score
2000,nonlinear system,0.14492753620031487
2000,simulation,0.14492753620031487
2000,motion estimation ,0.14492753620031487
2000,feature vector,0.14492753620031487
2000,experiment,0.14492753620031487
2000,support vector machine,0.14492753620031487
2000,artificial neural network,0.021739130466351772
2000,neural network simulation,0.021739130466351772
2000,43.80.+p,0.021739130466351772
2000,lyapunov functional,0.021739130466351772
2000,delay,0.021739130466351772
2000,periodic solution,0.021739130466351772
2001,signal processing,0.09866652727241085
2001,state estimation,0.061380976033007774
2001,statespace methods,0.05079928286453313
2001,stochastic processes,0.04424716127235868
2001,filtering algorithms,0.04139019635969911
2001,deconvolution,0.039261627426858035
2001,filtering,0.038958418570862546
2001,widely acknowledged,0.033112582781456956
2001,domain ontologies,0.033112582781456956
2001,formal ontologies,0.033112582781456956
2001,transportable machine understanding,0.033112582781456956
2001,s function,0.033112582781456956
2001,passage method,0.033112582781456956
2001,useful tools,0.033112582781456956
2001,artificial neural network,0.033112582781456956
2001,markov chain monte carlo ,0.033112582781456956
2001,importance sampling ,0.033112582781456956
2001,algorithm,0.033112582781456956
2001,feedforward neural network,0.033112582781456956
2001,signal processing algorithms,0.024938855314710243
2001,linear systems,0.022139547610473875
2001,computer simulation,0.022139547610473875
2001,laboratories,0.021345836085511088
2001,fading,0.021345836085511088
2001,bayesian methods,0.019644892133969853
2001,mathematics,0.01948836743118814
2001,monte carlo methods,0.015585442030705894
2001,smoothing methods,0.010931313434869923
2001,particle filters,0.010650079747624275
2001,multilayer feedforward neural networks,0.004966887417218544
2001,increment,0.004966887417218544
2001,generalization psychology,0.004966887417218544
2001,reproducing kernel hilbert space,0.004966887417218544
2001,generalization capability,0.004966887417218544
2001,projection learning,0.004966887417218544
2001,cluster analysis,0.004966887417218544
2001,real life,0.004966887417218544
2002,monte carlo methods,0.05979064502283914
2002,signal processing,0.05979064502283914
2002,bayesian methods,0.05979064502283914
2002,intellectual property,0.057803468208091166
2002,organization company,0.057803468208091166
2002,patent trademark,0.05780346820809115
2002,program product,0.05780346820809115
2002,independent component analysis,0.057803468208091124
2002,unsupervised learning,0.057803468208091124
2002,important method,0.057803468208091124
2002,lyapunov function,0.05780346820809112
2002,global exponential stability,0.05780346820809112
2002,overcomplete situation,0.05780346820809112
2002,blind source separation,0.05780346820809112
2002,filtering algorithms,0.05780346820809112
2002,state estimation,0.05780346820809112
2002,speech processing,0.05184193776384699
2002,business models,0.008670520231225444
2002,consider thinking,0.008670520231225444
2003,global exponential stability,0.04510457801938603
2003,algorithm,0.03526155323781566
2003,87.18.sn,0.02545478654112652
2003,87.10.+e,0.02545478654112652
2003,43.80.+p,0.02545478654112652
2003,85.40.ls,0.02545478654112652
2003,computation,0.024236851019180397
2003,heuristic,0.0194804791123148
2003,really simple discovery,0.0194804791123148
2003,real life,0.0194804791123148
2003,firstorder predicate,0.0194804791123148
2003,feature vector,0.0194804791123148
2003,scheduling computing,0.017792441086232066
2003,grid computing,0.017792441086232066
2003,monte carlo method,0.017792441086232066
2003,computed using,0.01706484641638225
2003,combines distributional clustering,0.01706484641638225
2003,cluster representation,0.01706484641638225
2003,support vector machine,0.01706484641638225
2003,text categorization,0.01706484641638225
2003,original bayesian approach,0.01706484641638225
2003,noiseless context,0.01706484641638225
2003,neural network,0.01706484641638225
2003,contentaddressable memory,0.01706484641638225
2003,filtering,0.01706484641638225
2003,statespace methods,0.01706484641638225
2003,state estimation,0.01706484641638225
2003,walk on spheres wos,0.017064846416382246
2003,87.15.vv,0.017064846416382246
